tweet,sentiment_label
RT @JeudyBruno: Précis Sur l'économie et la dette, Fillon prend l'ascendant dans #PrimaireLeDebat. Sarkozy finit par approuver des proposit…,Positive
RT @Lopinion_fr: Fillon: « Il ne faut pas taper sur la liberté religieuse pour régler un problème qui ne concerne qu’une seule communauté »…,Negative
RT @PVergezHonta: #PrimaireLeDebat 
#Juppé convaincant 
#Poisson surprenant
#BLM redondant
#Sarkozy énervant
#Copé désespéré
#Fillon fatigu…,Positive
RT @publicsenat: #PrimaireLeDébat  @reillesoult : classements en terme de visibilité sur Twitter : Sarkozy, Fillon, Juppé, Le Maire, NKM, C…,Negative
RT @vandemeulebrou: #PrimaireLeDebat Formaté #Juppe. Pugnace #Cope.   Moderne #NKM.Combatif  #Sarkozy. Surprenant #Poisson. Sérieux #Fillon…,Positive
RT @PVergezHonta: #PrimaireLeDebat 
#Juppé convaincant 
#Poisson surprenant
#BLM redondant
#Sarkozy énervant
#Copé désespéré
#Fillon fatigu…,Positive
Malgré l'heure tardive @vincentmichelon vous a fait un petit VRAI/FAUX #PrimaireLeDebat  https://t.co/Wz1kn2zyLd,Positive
RT @OneRadex: Étonné de voir que #Fillon ne connaît pas le montant du SMIC, lui cet homme proche du peuple. #PrimaireLeDebat https://t.co/v…,Positive
RT @laurentbazin: Fillon en place. Juppé sans aspérité. NKM radicale. Sarkozy pugnace. Lemaire en dessous. Copé rude. Poisson surprenant. #…,Positive
RT @Challenges: Primaire à droite: ce qu'il faut retenir du premier débat &gt; https://t.co/QynqnhR0G5 #PrimaireLeDebat https://t.co/8SOxvYcIOG,Positive
RT @tprincedelamour: #primaireledébat Qui a selon vous gagné le débat?
Votez et RT: seul #sondage officiel non truqué!

#Fillon #Copé #Sark…,Negative
RT @MaestroVerrardi: Meilleures prestations de ce soir:

1) Fillon 
2) Poisson
3) Copé
4) Sarkozy
5) LeMaire
6) Juppé
7) NKM

 #primaireled…,Positive
RT @tprincedelamour: #primaireledébat Qui a selon vous gagné le débat?
Votez et RT: seul #sondage officiel non truqué!

#Fillon #Copé #Sark…,Negative
RT @jwaintraub: Convergence #Fillon #Copé sur les moyens de lutter contre le chômage #PrimaireLeDebat,Negative
RT @20Minutes: 🔴 #PrimaireLeDebat #Fillon «Je veux supprimer la durée légale du travail» https://t.co/dej24DstN5 https://t.co/zsrxX06WAB,Negative
RT @laurentbazin: Fillon en place. Juppé sans aspérité. NKM radicale. Sarkozy pugnace. Lemaire en dessous. Copé rude. Poisson surprenant. #…,Positive
RT @tprincedelamour: #Fillon très convaincant sur les temps de travail: instaurer une liberté totale dans la limite des normes européennes.…,Positive
RT @JeudyBruno: 30 mn de Debat, Juppé et Sarkozy toujours très tendus, Fillon Et Copé les plus à l'aise #PrimaireLeDebat @ParisMatch,Negative
@NicolasSarkozy désigné vainqueur de ce " #PrimaireLeDebat " par la presse étrangère non corrompue  (Le Temps) https://t.co/lJVXU1bWxS,Negative
